2017-08-17 01:47:40 ; 6312.0 ; TX ; 563672000 ; THALASSA PATRIS ; 9V2229 ; TEST ; ACK ; Snargate
2017-08-17 07:24:20 ; 6312.0 ; RX ; 538004581 ; DOMINGO ; V7XV5 ; TEST ; REQ ; IO75-06
2017-08-17 07:24:21 ; 6312.0 ; TX ; 538004581 ; DOMINGO ; V7XV5 ; TEST ; ACK ; Snargate
2017-08-17 07:41:37 ; 2187.5 ; RX ; 235010690 ; ALERT ; MLPH9 ; TEST ; REQ ; IO75-02
2017-08-17 07:41:38 ; 2187.5 ; TX ; 235010690 ; ALERT ; MLPH9 ; TEST ; ACK ; Snargate
2017-08-17 08:44:57 ; 2187.5 ; RX ; 002050480 ; Ostende Radio ;  ; TEST ; ACK ; NL8811
2017-08-17 08:44:58 ; 2187.5 ; RX ; 002050480 ; Ostende Radio ;  ; TEST ; ACK ; IO75-02
2017-08-17 09:11:21 ; 4207.5 ; RX ; 538007573 ; unk ; unk ; TEST ; REQ ; IO75-04
2017-08-17 09:11:21 ; 4207.5 ; TX ; 538007573 ; SANDERLING ACE ; V7UZ3 ; TEST ; ACK ; Snargate
2017-08-17 10:03:04 ; 8414.5 ; RX ; 477102200 ; SAGA PIONEER ; VRED4 ; TEST ; REQ ; IO75-08
2017-08-17 10:03:06 ; 8414.5 ; TX ; 477102200 ; SAGA PIONEER ; VRED4 ; TEST ; ACK ; Snargate
2017-08-17 10:25:16 ; 4207.5 ; RX ; 563672000 ; THALASSA PATRIS ; 9V2229 ; TEST ; REQ ; IO75-04
2017-08-17 10:25:16 ; 4207.5 ; TX ; 563672000 ; THALASSA PATRIS ; 9V2229 ; TEST ; ACK ; Snargate
2017-08-17 10:30:54 ; 12577.0 ; RX ; 566577000 ; HAFNIA MALACCA ; 9V3280 ; TEST ; REQ ; DICK-NRD545
2017-08-17 10:30:55 ; 12577.0 ; TX ; 566577000 ; HAFNIA MALACCA ; 9V3280 ; TEST ; ACK ; Snargate
2017-08-17 10:36:44 ; 2187.5 ; RX ; 406112220 ; unk ; unk ; TEST ; REQ ; NL8811
2017-08-17 10:36:44 ; 2187.5 ; RX ; 406112220 ; unk ; unk ; TEST ; REQ ; IO75-02
2017-08-17 10:36:45 ; 2187.5 ; TX ; 406112220 ; unk ; unk ; TEST ; ACK ; Snargate
2017-08-17 10:36:45 ; 2187.5 ; TX ; 406112220 ; unk ; unk ; TEST ; ACK ; Snargate
2017-08-17 10:56:31 ; 8414.5 ; RX ; 304491000 ; MARENO ; V2BC5 ; TEST ; REQ ; OE3WYC
2017-08-17 10:56:32 ; 8414.5 ; RX ; 304491000 ; MARENO ; V2BC5 ; TEST ; REQ ; IO75-08
2017-08-17 10:56:32 ; 8414.5 ; TX ; 304491000 ; MARENO ; V2BC5 ; TEST ; ACK ; Snargate
